date,satellite,cloud_pct,status,season,threshold,action
2025-08-01,Sentinel-2A,97.2,REJECTED,Kharif,50,Skipped — cloud cover 97.2% exceeds 50% Kharif QA threshold
2025-08-01,Sentinel-2A,98.1,REJECTED,Kharif,50,Skipped — cloud cover 98.1% exceeds 50% Kharif QA threshold
2025-08-01,Sentinel-2B,99.2,REJECTED,Kharif,50,Skipped — cloud cover 99.2% exceeds 50% Kharif QA threshold
2025-08-04,Sentinel-2B,86.8,REJECTED,Kharif,50,Skipped — cloud cover 86.8% exceeds 50% Kharif QA threshold
2025-08-04,Sentinel-2B,97.5,REJECTED,Kharif,50,Skipped — cloud cover 97.5% exceeds 50% Kharif QA threshold
2025-08-06,Sentinel-2C,71.2,REJECTED,Kharif,50,Skipped — cloud cover 71.2% exceeds 50% Kharif QA threshold
2025-08-06,Sentinel-2C,80.7,REJECTED,Kharif,50,Skipped — cloud cover 80.7% exceeds 50% Kharif QA threshold
2025-08-09,Sentinel-2C,78.5,REJECTED,Kharif,50,Skipped — cloud cover 78.5% exceeds 50% Kharif QA threshold
2025-08-09,Sentinel-2C,93.4,REJECTED,Kharif,50,Skipped — cloud cover 93.4% exceeds 50% Kharif QA threshold
2025-08-11,Sentinel-2B,100.0,REJECTED,Kharif,50,Skipped — cloud cover 100.0% exceeds 50% Kharif QA threshold
2025-08-14,Sentinel-2B,100.0,REJECTED,Kharif,50,Skipped — cloud cover 100.0% exceeds 50% Kharif QA threshold
2025-08-16,Sentinel-2C,98.0,REJECTED,Kharif,50,Skipped — cloud cover 98.0% exceeds 50% Kharif QA threshold
2025-08-16,Sentinel-2C,96.0,REJECTED,Kharif,50,Skipped — cloud cover 96.0% exceeds 50% Kharif QA threshold
2025-08-18,Sentinel-2A,61.9,REJECTED,Kharif,50,Skipped — cloud cover 61.9% exceeds 50% Kharif QA threshold
2025-08-18,Sentinel-2A,50.7,REJECTED,Kharif,50,Skipped — cloud cover 50.7% exceeds 50% Kharif QA threshold
2025-08-19,Sentinel-2C,28.3,ACCEPTED,Kharif,50,Used in composite — NDVI extracted at 208 points
2025-08-19,Sentinel-2C,58.9,REJECTED,Kharif,50,Skipped — cloud cover 58.9% exceeds 50% Kharif QA threshold
2025-08-21,Sentinel-2B,17.9,ACCEPTED,Kharif,50,Used in composite — NDVI extracted at 208 points
2025-08-21,Sentinel-2B,25.8,ACCEPTED,Kharif,50,Used in composite — NDVI extracted at 208 points
