sample_id,easting_utm,northing_utm,longitude,latitude,bulk_density,pH,EC,K2O,available_P,OC,CaCO3,available_N,CEC,dem,slope,aspect,lulc,lithology,geomorphology,NDVI,NDBI,SAVI,BSI
filebc494d5a79.73,633675.0,3407385.0,76.39714593,30.79199887,260.83,8.628,0.099,43.1872,5.6,0.0375,0.5,225.792,3.24347826,229.4644470214844,4.0,292.47125244140625,3.0,1.0,1.0,0.5462496605967376,-0.2094951859843143,0.3523880082970235,-0.1277922460352108
filebc494d5a79.74,625835.0,3410205.0,76.31556909,30.81829555,209.5,8.393,0.084,136.9844,16.128,0.4875,0.375,188.16,14.0652174,226.99386596679688,4.0,70.1290283203125,3.0,1.0,1.0,0.515270428024667,-0.2200276438179148,0.3471326859226259,-0.1215715177985039
filebc494d5a79.75,626045.0,3406475.0,76.31730501,30.78462451,303.245,8.239,0.098,85.6996,12.544,0.4125,0.25,200.704,18.4304348,223.37582397460935,2.0,167.21588134765625,2.0,1.0,1.0,0.3564166744937831,-0.1068895036162862,0.216149398632026,-0.0101535589861223
filebc494d5a79.76,628195.0,3409095.0,76.34009754,30.8080294,231.159,8.293,0.11,73.5532,19.264,0.3,0.375,225.792,9.9673913,224.93214416503903,2.0,327.10992431640625,3.0,1.0,1.0,0.6511698549367857,-0.2499137463531999,0.387709559094524,-0.1905636144795683
filebc494d5a79.77,623445.0,3406945.0,76.29019471,30.78913769,258.5,8.34,0.11,93.1224,13.664,0.315,0.5,225.792,14.0652174,223.2261505126953,2.0,174.88787841796875,2.0,1.0,1.0,0.2657200768442523,-0.0365448513206897,0.1481527976092455,0.0391616029589503
filebc494d5a79.78,628055.0,3404005.0,76.33799844,30.76212735,263.215,8.578,0.088,77.602,16.128,0.975,0.5,263.424,14.0652174,222.10125732421875,3.0,327.11212158203125,2.0,2.0,1.0,0.6245161208451477,-0.2819142308347491,0.3585185155205711,-0.2140814606705663
filebc494d5a79.79,627615.0,3403885.0,76.33338718,30.76109216,287.54,8.505,0.09,47.236,29.12,0.45,0.125,188.16,14.0652174,222.7057037353516,2.0,49.63600540161133,2.0,1.0,1.0,0.5552117162828106,-0.2105551190733784,0.3460459469455428,-0.135882698576314
filebc494d5a79.80,630845.0,3414545.0,76.36849034,30.8569038,279.63,8.566,0.083,27.6668,16.352,0.39,0.375,250.88,14.0652174,227.03643798828125,3.0,152.99423217773438,3.0,1.0,1.0,0.2183298555493153,0.0435558249937854,0.11317976442416,0.0635375006079096
filebc494d5a79.81,626355.0,3402045.0,76.31999854,30.74462786,242.161,8.341,0.081,33.0652,19.712,0.4125,0.25,288.512,14.0652174,221.90093994140625,3.0,138.75454711914062,3.0,1.0,1.0,0.6518565511901168,-0.2668857247965004,0.3779904315295188,-0.2203775703442664
filebc494d5a79.82,625945.0,3415755.0,76.31740282,30.8683507,216.58,8.5,0.098,8.7724,17.024,0.3,1.875,275.968,14.0652174,221.6583404541016,2.0,334.4847412109375,2.0,1.0,1.0,0.5193708037991319,-0.1927738670227588,0.3171469213574835,-0.1117208397064342
