lon,lat,class_code,class_name,color,season
76.298858,30.720137,1,Wheat,#fbbf24,Rabi 2025-26
76.299756,30.720137,1,Wheat,#fbbf24,Rabi 2025-26
76.300654,30.720137,1,Wheat,#fbbf24,Rabi 2025-26
76.301553,30.720137,1,Wheat,#fbbf24,Rabi 2025-26
76.302451,30.720137,1,Wheat,#fbbf24,Rabi 2025-26
76.303349,30.720137,1,Wheat,#fbbf24,Rabi 2025-26
76.304248,30.720137,1,Wheat,#fbbf24,Rabi 2025-26
76.305146,30.720137,1,Wheat,#fbbf24,Rabi 2025-26
76.306044,30.720137,1,Wheat,#fbbf24,Rabi 2025-26
76.306943,30.720137,1,Wheat,#fbbf24,Rabi 2025-26
76.321316,30.720137,2,Spring Maize,#16a34a,Rabi 2025-26
76.322214,30.720137,5,Agroforestry,#064e3b,Rabi 2025-26
76.323112,30.720137,2,Spring Maize,#16a34a,Rabi 2025-26
76.324011,30.720137,2,Spring Maize,#16a34a,Rabi 2025-26
76.324909,30.720137,2,Spring Maize,#16a34a,Rabi 2025-26
76.325807,30.720137,2,Spring Maize,#16a34a,Rabi 2025-26
76.326706,30.720137,2,Spring Maize,#16a34a,Rabi 2025-26
76.327604,30.720137,1,Wheat,#fbbf24,Rabi 2025-26
76.328502,30.720137,1,Wheat,#fbbf24,Rabi 2025-26
76.329401,30.720137,1,Wheat,#fbbf24,Rabi 2025-26
76.330299,30.720137,1,Wheat,#fbbf24,Rabi 2025-26
76.331197,30.720137,1,Wheat,#fbbf24,Rabi 2025-26
76.332095,30.720137,1,Wheat,#fbbf24,Rabi 2025-26
76.332994,30.720137,1,Wheat,#fbbf24,Rabi 2025-26
76.333892,30.720137,1,Wheat,#fbbf24,Rabi 2025-26
76.33479,30.720137,1,Wheat,#fbbf24,Rabi 2025-26
76.335689,30.720137,1,Wheat,#fbbf24,Rabi 2025-26
76.336587,30.720137,1,Wheat,#fbbf24,Rabi 2025-26
76.337485,30.720137,1,Wheat,#fbbf24,Rabi 2025-26
76.338384,30.720137,1,Wheat,#fbbf24,Rabi 2025-26
76.339282,30.720137,1,Wheat,#fbbf24,Rabi 2025-26
76.34018,30.720137,1,Wheat,#fbbf24,Rabi 2025-26
76.341079,30.720137,1,Wheat,#fbbf24,Rabi 2025-26
76.341977,30.720137,1,Wheat,#fbbf24,Rabi 2025-26
76.342875,30.720137,1,Wheat,#fbbf24,Rabi 2025-26
76.343774,30.720137,1,Wheat,#fbbf24,Rabi 2025-26
76.344672,30.720137,1,Wheat,#fbbf24,Rabi 2025-26
76.34557,30.720137,1,Wheat,#fbbf24,Rabi 2025-26
76.346469,30.720137,1,Wheat,#fbbf24,Rabi 2025-26
76.347367,30.720137,1,Wheat,#fbbf24,Rabi 2025-26
76.348265,30.720137,1,Wheat,#fbbf24,Rabi 2025-26
76.349163,30.720137,1,Wheat,#fbbf24,Rabi 2025-26
76.350062,30.720137,2,Spring Maize,#16a34a,Rabi 2025-26
76.285383,30.721035,2,Spring Maize,#16a34a,Rabi 2025-26
76.286281,30.721035,2,Spring Maize,#16a34a,Rabi 2025-26
76.28718,30.721035,2,Spring Maize,#16a34a,Rabi 2025-26
76.288078,30.721035,1,Wheat,#fbbf24,Rabi 2025-26
76.288976,30.721035,1,Wheat,#fbbf24,Rabi 2025-26
76.289875,30.721035,2,Spring Maize,#16a34a,Rabi 2025-26
76.290773,30.721035,2,Spring Maize,#16a34a,Rabi 2025-26
76.291671,30.721035,1,Wheat,#fbbf24,Rabi 2025-26
76.29257,30.721035,1,Wheat,#fbbf24,Rabi 2025-26
76.293468,30.721035,1,Wheat,#fbbf24,Rabi 2025-26
76.294366,30.721035,1,Wheat,#fbbf24,Rabi 2025-26
76.295265,30.721035,1,Wheat,#fbbf24,Rabi 2025-26
76.296163,30.721035,1,Wheat,#fbbf24,Rabi 2025-26
76.297061,30.721035,1,Wheat,#fbbf24,Rabi 2025-26
76.297959,30.721035,2,Spring Maize,#16a34a,Rabi 2025-26
76.298858,30.721035,5,Agroforestry,#064e3b,Rabi 2025-26
76.299756,30.721035,1,Wheat,#fbbf24,Rabi 2025-26
76.300654,30.721035,1,Wheat,#fbbf24,Rabi 2025-26
76.301553,30.721035,1,Wheat,#fbbf24,Rabi 2025-26
76.302451,30.721035,1,Wheat,#fbbf24,Rabi 2025-26
76.303349,30.721035,1,Wheat,#fbbf24,Rabi 2025-26
76.304248,30.721035,1,Wheat,#fbbf24,Rabi 2025-26
76.305146,30.721035,1,Wheat,#fbbf24,Rabi 2025-26
76.306044,30.721035,1,Wheat,#fbbf24,Rabi 2025-26
76.306943,30.721035,2,Spring Maize,#16a34a,Rabi 2025-26
76.307841,30.721035,2,Spring Maize,#16a34a,Rabi 2025-26
76.320417,30.721035,2,Spring Maize,#16a34a,Rabi 2025-26
76.321316,30.721035,2,Spring Maize,#16a34a,Rabi 2025-26
76.322214,30.721035,1,Wheat,#fbbf24,Rabi 2025-26
76.323112,30.721035,1,Wheat,#fbbf24,Rabi 2025-26
76.324011,30.721035,1,Wheat,#fbbf24,Rabi 2025-26
76.324909,30.721035,2,Spring Maize,#16a34a,Rabi 2025-26
76.325807,30.721035,2,Spring Maize,#16a34a,Rabi 2025-26
76.326706,30.721035,1,Wheat,#fbbf24,Rabi 2025-26
76.327604,30.721035,1,Wheat,#fbbf24,Rabi 2025-26
76.328502,30.721035,1,Wheat,#fbbf24,Rabi 2025-26
76.329401,30.721035,1,Wheat,#fbbf24,Rabi 2025-26
76.330299,30.721035,1,Wheat,#fbbf24,Rabi 2025-26
76.331197,30.721035,1,Wheat,#fbbf24,Rabi 2025-26
76.332095,30.721035,1,Wheat,#fbbf24,Rabi 2025-26
76.332994,30.721035,1,Wheat,#fbbf24,Rabi 2025-26
76.333892,30.721035,1,Wheat,#fbbf24,Rabi 2025-26
76.33479,30.721035,1,Wheat,#fbbf24,Rabi 2025-26
76.335689,30.721035,1,Wheat,#fbbf24,Rabi 2025-26
76.336587,30.721035,1,Wheat,#fbbf24,Rabi 2025-26
76.337485,30.721035,5,Agroforestry,#064e3b,Rabi 2025-26
76.338384,30.721035,1,Wheat,#fbbf24,Rabi 2025-26
76.339282,30.721035,1,Wheat,#fbbf24,Rabi 2025-26
76.34018,30.721035,1,Wheat,#fbbf24,Rabi 2025-26
76.341079,30.721035,1,Wheat,#fbbf24,Rabi 2025-26
76.341977,30.721035,1,Wheat,#fbbf24,Rabi 2025-26
76.342875,30.721035,1,Wheat,#fbbf24,Rabi 2025-26
76.343774,30.721035,1,Wheat,#fbbf24,Rabi 2025-26
76.344672,30.721035,1,Wheat,#fbbf24,Rabi 2025-26
76.34557,30.721035,2,Spring Maize,#16a34a,Rabi 2025-26
76.346469,30.721035,1,Wheat,#fbbf24,Rabi 2025-26
76.347367,30.721035,1,Wheat,#fbbf24,Rabi 2025-26
76.348265,30.721035,1,Wheat,#fbbf24,Rabi 2025-26
76.349163,30.721035,1,Wheat,#fbbf24,Rabi 2025-26
76.350062,30.721035,1,Wheat,#fbbf24,Rabi 2025-26
76.35096,30.721035,1,Wheat,#fbbf24,Rabi 2025-26
76.351858,30.721035,1,Wheat,#fbbf24,Rabi 2025-26
76.284485,30.721934,2,Spring Maize,#16a34a,Rabi 2025-26
76.285383,30.721934,2,Spring Maize,#16a34a,Rabi 2025-26
76.286281,30.721934,5,Agroforestry,#064e3b,Rabi 2025-26
76.28718,30.721934,1,Wheat,#fbbf24,Rabi 2025-26
76.288078,30.721934,1,Wheat,#fbbf24,Rabi 2025-26
76.288976,30.721934,1,Wheat,#fbbf24,Rabi 2025-26
76.289875,30.721934,1,Wheat,#fbbf24,Rabi 2025-26
76.290773,30.721934,1,Wheat,#fbbf24,Rabi 2025-26
76.291671,30.721934,1,Wheat,#fbbf24,Rabi 2025-26
76.29257,30.721934,1,Wheat,#fbbf24,Rabi 2025-26
76.293468,30.721934,1,Wheat,#fbbf24,Rabi 2025-26
76.294366,30.721934,1,Wheat,#fbbf24,Rabi 2025-26
76.295265,30.721934,1,Wheat,#fbbf24,Rabi 2025-26
76.296163,30.721934,1,Wheat,#fbbf24,Rabi 2025-26
76.297061,30.721934,1,Wheat,#fbbf24,Rabi 2025-26
76.297959,30.721934,5,Agroforestry,#064e3b,Rabi 2025-26
76.298858,30.721934,1,Wheat,#fbbf24,Rabi 2025-26
76.299756,30.721934,1,Wheat,#fbbf24,Rabi 2025-26
76.300654,30.721934,1,Wheat,#fbbf24,Rabi 2025-26
76.301553,30.721934,1,Wheat,#fbbf24,Rabi 2025-26
76.302451,30.721934,1,Wheat,#fbbf24,Rabi 2025-26
76.303349,30.721934,1,Wheat,#fbbf24,Rabi 2025-26
76.304248,30.721934,1,Wheat,#fbbf24,Rabi 2025-26
76.305146,30.721934,1,Wheat,#fbbf24,Rabi 2025-26
76.306044,30.721934,2,Spring Maize,#16a34a,Rabi 2025-26
76.306943,30.721934,2,Spring Maize,#16a34a,Rabi 2025-26
76.307841,30.721934,1,Wheat,#fbbf24,Rabi 2025-26
76.308739,30.721934,1,Wheat,#fbbf24,Rabi 2025-26
76.309638,30.721934,1,Wheat,#fbbf24,Rabi 2025-26
76.320417,30.721934,2,Spring Maize,#16a34a,Rabi 2025-26
76.321316,30.721934,2,Spring Maize,#16a34a,Rabi 2025-26
76.322214,30.721934,1,Wheat,#fbbf24,Rabi 2025-26
76.323112,30.721934,1,Wheat,#fbbf24,Rabi 2025-26
76.324011,30.721934,2,Spring Maize,#16a34a,Rabi 2025-26
76.324909,30.721934,1,Wheat,#fbbf24,Rabi 2025-26
76.325807,30.721934,1,Wheat,#fbbf24,Rabi 2025-26
76.326706,30.721934,1,Wheat,#fbbf24,Rabi 2025-26
76.327604,30.721934,1,Wheat,#fbbf24,Rabi 2025-26
76.328502,30.721934,1,Wheat,#fbbf24,Rabi 2025-26
76.329401,30.721934,1,Wheat,#fbbf24,Rabi 2025-26
76.330299,30.721934,1,Wheat,#fbbf24,Rabi 2025-26
76.331197,30.721934,1,Wheat,#fbbf24,Rabi 2025-26
76.332095,30.721934,1,Wheat,#fbbf24,Rabi 2025-26
76.332994,30.721934,1,Wheat,#fbbf24,Rabi 2025-26
76.333892,30.721934,1,Wheat,#fbbf24,Rabi 2025-26
76.33479,30.721934,1,Wheat,#fbbf24,Rabi 2025-26
76.335689,30.721934,1,Wheat,#fbbf24,Rabi 2025-26
76.336587,30.721934,1,Wheat,#fbbf24,Rabi 2025-26
76.337485,30.721934,1,Wheat,#fbbf24,Rabi 2025-26
76.338384,30.721934,1,Wheat,#fbbf24,Rabi 2025-26
76.339282,30.721934,1,Wheat,#fbbf24,Rabi 2025-26
76.34018,30.721934,1,Wheat,#fbbf24,Rabi 2025-26
76.341079,30.721934,1,Wheat,#fbbf24,Rabi 2025-26
76.341977,30.721934,1,Wheat,#fbbf24,Rabi 2025-26
76.342875,30.721934,1,Wheat,#fbbf24,Rabi 2025-26
76.343774,30.721934,1,Wheat,#fbbf24,Rabi 2025-26
76.344672,30.721934,1,Wheat,#fbbf24,Rabi 2025-26
