point_id,longitude,latitude,original_class,original_name,original_landuse,rabi_max,rabi_mean,spring_max,spring_mean,kharif_max,kharif_mean,kharif_early_max,kharif_early_mean,annual_mean,annual_std,annual_min,n_observations,class_rabi_2025_26,class_kharif_2025
76.308639_30.785163,76.30863864371808,30.785163398826068,4,Others,sugarcane,0.58034456,0.4995230169230768,0.5254237,0.3418507111111111,0.8098894,0.7120868354545455,0.78313255,0.742020525,0.5641892661111112,0.19533587364107746,0.05984,126,Other,Kharif_Maize
76.310774_30.765383,76.31077396641193,30.765382757714164,4,Others,green chilli,0.6845559,0.5601197916666667,0.24420877,0.19710043333333335,0.86600906,0.75972064375,0.70933336,0.70933336,0.4274576567948718,0.2671464131933172,0.07892108,117,Wheat,Kharif_Maize
76.311139_30.761499,76.31113924532524,30.76149942435412,1,Wheat,wheat,0.8008092,0.5597918199999999,0.7705678,0.43290541000000005,0.8005212,0.7444816175,0.6689189,0.6689189,0.5158561787966103,0.2532248227421389,0.10032223,118,Other,Kharif_Maize
76.312017_30.756889,76.31201700514183,30.75688911120921,1,Wheat,wheat,0.92081684,0.8580800707692308,0.32606402,0.20622901222222223,0.90625,0.751636341,0.54137933,0.54137933,0.45078682281512605,0.3089773338677781,0.09847879,119,Wheat,Kharif_Maize
76.312129_30.757429,76.31212880425522,30.7574293259236,1,Wheat,wheat,0.90852743,0.8464796184615384,0.26973405,0.18191859666666665,0.9048474,0.7294659859999999,0.6642537,0.6642537,0.41812778283333335,0.3100258944411285,0.0312769,120,Wheat,Kharif_Maize
76.312199_30.831863,76.31219930221343,30.831863228198408,1,Wheat,wheat,0.88709676,0.8234579438461538,0.30799538,0.2098196311111111,0.8517086,0.5656033409090908,0.8181818,0.8181818,0.43241627958593754,0.2944120680945016,0.060340382,128,Wheat,Kharif_Maize
76.313949_30.83753,76.3139493490568,30.837529549570675,1,Wheat,whaeat+ sugarcane(small),0.8366526,0.7875583138461537,0.3566879,0.23551593999999998,0.8039304,0.678884775,0.67597085,0.47346215,0.45288317703125003,0.2144304997089981,0.05044092,128,Wheat,Kharif_Maize
76.314536_30.819208,76.31453613744078,30.81920826698816,1,Wheat,whaet,0.8836577,0.7996387015384616,0.2791175,0.20140341333333334,0.88710415,0.6135488818181819,0.7701277,0.7701277,0.4655191150793651,0.303521916146641,0.0729585,126,Wheat,Kharif_Maize
76.314592_30.754156,76.31459167004749,30.754156314836937,1,Wheat,wheat,0.9054322,0.8476772946153844,0.34020618,0.21981583111111108,0.871612,0.7889642577777778,0.15698063,0.15698063,0.5276972845,0.2773847982315368,0.11243433,118,Wheat,Rice
76.314718_30.817222,76.31471814971749,30.817221504794404,1,Wheat,wheat,0.88291,0.8142929646153848,0.24519846,0.18191948777777778,0.8935037,0.7549699445454546,0.72643256,0.53917198,0.4491788109606299,0.30134996604386993,0.04956727,127,Wheat,Kharif_Maize
76.31537_30.819019,76.31536987739328,30.81901935795536,4,Others,muskmelon,0.7807475,0.7148544415384616,0.7968397,0.46996592444444446,0.87784636,0.38091147363636363,0.76912963,0.76912963,0.49220524442857144,0.30599915497791647,0.0694362,126,Spring_Maize,Kharif_Maize
76.315889_30.734294,76.31588863981223,30.734293801052196,4,Others,napier/zugrcane,0.41124097,0.3393548830769231,0.75250095,0.5760891255555555,0.72685313,0.6194216754545453,0.785138,0.74933755,0.5224099338400001,0.15067498740050583,0.14327063,125,Spring_Maize,Kharif_Maize
76.316632_30.857893,76.31663232437272,30.85789269955634,4,Others,barseem,0.8441242,0.7811940984615384,0.79555136,0.6936617822222223,0.84267455,0.7452568766666666,0.45234248,0.45234248,0.5448727614838711,0.1879787529847077,0.058245614,124,Other,Kharif_Maize
76.316829_30.734284,76.31682853750361,30.73428426638269,1,Wheat,wheat,0.89701784,0.8268739415384616,0.31163648,0.20777398222222224,0.8350825,0.6621459118181818,0.5215311,0.233897922,0.403530888032,0.29000839901982584,-0.053735256,125,Wheat,Kharif_Maize
76.317305_30.784625,76.31730500737402,30.7846245072241,4,Others,wasteland,0.9059808,0.8266205746153847,0.22829366,0.18381436666666667,0.88133764,0.5731308927272727,0.84136856,0.62495257,0.4313499150238095,0.31490863964507354,0.07622183,126,Wheat,Kharif_Maize
76.317444_30.748804,76.31744392692407,30.748804146098067,1,Wheat,wheat,0.91048527,0.8248819323076921,0.27046865,0.19086332333333333,0.9070175,0.7446202999999999,0.6810162,0.6810162,0.44652765054545457,0.3051701381967411,0.090312816,121,Wheat,Kharif_Maize
76.317545_30.756202,76.31754465226645,30.75620151079658,4,Others,Maize (just growing),0.8998483,0.8403781300000001,0.8501313,0.38556040111111106,0.8294737,0.63226817,0.7140966,0.7140966,0.5499785830508475,0.294575181848329,0.1139394,118,Other,Kharif_Maize
76.318813_30.76494,76.31881297799141,30.764940360108135,1,Wheat,wheat,0.91799545,0.8517088307692308,0.30646282,0.20380884666666665,0.89961034,0.7248328963636365,0.45454547,0.196963097,0.44253473220325207,0.3037145835331512,-0.060619276,123,Wheat,Kharif_Maize
76.322274_30.857474,76.32227396984737,30.85747430968661,1,Wheat,wheat,0.881472,0.815459886923077,0.2567917,0.2009245966666667,0.82841456,0.5257206289999999,0.7334852,0.41112433499999995,0.41701549799212595,0.2868609074914694,0.0796852,127,Wheat,Kharif_Maize
76.322756_30.770584,76.32275595834642,30.770584312064354,2,Maize_Tall,maize,0.52474636,0.4712015584615385,0.55830985,0.47401653888888895,0.8446796,0.7056362799999999,0.8077922,0.7074187999999999,0.502490633442623,0.13671558072643125,0.17628458,122,Other,Kharif_Maize
76.324717_30.776429,76.32471679843447,30.776428844827407,2,Maize_Tall,maize,0.91096216,0.8302080433333333,0.21164815,0.16668489288888888,0.8545842,0.49839536545454544,0.6764402,0.40007221000000004,0.4025953615080645,0.29858308180249926,0.06551549,124,Wheat,Kharif_Maize
76.32471_30.730144,76.32470989829504,30.730143949818977,2,Maize_Tall,maize,0.41865158,0.3324293076923077,0.9937824,0.7800583466666667,0.88195896,0.6870135272727271,0.10837119,0.10837119,0.5042113434916666,0.2969411910268202,0.05681124,120,Spring_Maize,Rice
76.324808_30.74494,76.32480790315338,30.744939736203037,2,Maize_Tall,maize,0.5051936,0.3712317207692307,0.897346,0.6667128844444444,0.57377046,0.29829272900000003,0.15503247,0.10065789,0.4393910601626016,0.22034552509288863,0.04628331,123,Spring_Maize,Other
76.325091_30.735102,76.32509107688884,30.735102398551497,1,Wheat,wheat,0.89345115,0.6777101869230768,0.6974897,0.31969443000000003,0.80651945,0.716437558,0.7093681,0.7071259249999999,0.5091252668442623,0.23564611596440618,0.068654865,122,Wheat,Kharif_Maize
76.325809_30.863573,76.32580906050669,30.86357329714027,4,Others,mustard,0.8427569,0.7789968969230768,0.71662766,0.6293485733333334,0.76431614,0.682277212,0.7750461,0.7410166499999999,0.5094365264687499,0.20031161327159358,0.055344958,128,Wheat,Kharif_Maize
76.326502_30.72372,76.3265018825923,30.723719711119067,1,Wheat,wheat,0.9484829,0.8550014459259259,0.24115176,0.17919074823529413,0.8741534,0.7351428179999999,0.055530474,0.055407872,0.45283283163709676,0.3129897222648355,0.05528527,248,Wheat,Rice
76.327723_30.835494,76.327723131096,30.8354943936211,1,Wheat,wheat,0.8965665,0.8188884915384615,0.23731343,0.19110751444444443,0.8634976,0.71933388,0.1765291,0.16694475,0.4426774948818898,0.30457517582967103,0.081540205,127,Wheat,Rice
76.328304_30.870044,76.3283037965211,30.870043745078465,4,Others,mustard,0.8504355,0.8017564653846154,0.6130578,0.3589991211111111,0.84862816,0.7903096644444445,0.39708376,0.39708376,0.43500951739999993,0.27986930071200755,0.045008462,125,Wheat,Rice
76.328511_30.81681,76.32851138051906,30.81681013353464,4,Others,vegetable+muskmelon,0.8898788,0.8032923292307692,0.8104777,0.4078293444444444,0.79847497,0.2437711883333333,0.76623374,0.76623374,0.4960235268617886,0.28515751883201446,0.039342843,123,Other,Kharif_Maize
76.328652_30.781441,76.32865192989856,30.78144110727268,1,Wheat,wheat,0.8505505,0.7998196153846154,0.46192893,0.2880062122222222,0.87630266,0.7674590099999999,0.52920353,0.29949660499999997,0.45068905118897634,0.2724251688814468,0.06300813,127,Wheat,Kharif_Maize
76.329055_30.74237,76.32905542700124,30.74237001647816,1,Wheat,wheat,0.64488065,0.5396980738461539,0.35997963,0.2810654688888889,0.7470336,0.5300523549999999,0.5702218,0.44881899000000003,0.41566799009756095,0.15254917321183775,0.044766292,123,Wheat,Kharif_Maize
76.329076_30.865344,76.32907569970385,30.865344250070223,1,Wheat,wheat,0.86524206,0.8133850753846156,0.23144105,0.18396530777777778,0.8857678,0.7854065100000001,0.56620145,0.310454101,0.45335944746875,0.30138122723649646,0.054706752,128,Wheat,Kharif_Maize
76.329504_30.721794,76.32950409647532,30.721794279314945,1,Wheat,wheat,0.87899387,0.803333674814815,0.22599801,0.16710005735294117,0.86282814,0.6493312899999999,0.6104439,0.36386628750000005,0.43012793147368417,0.29664921019615015,0.066793896,247,Wheat,Kharif_Maize
76.330056_30.81508,76.33005558509234,30.81508004960485,1,Wheat,wheat,0.8781726,0.8334987453846152,0.4610601,0.2538676166666667,0.88298446,0.7584580439999999,0.6881644,0.6881644,0.45331653182258064,0.3113056426179443,0.04155547,124,Wheat,Kharif_Maize
