longitude,latitude,class,class_name,landuse,date,NDVI,NDWI,MNDWI
76.31113924532524,30.761499424354117,1,Wheat,wheat,2025-01-28,0.8548263,-0.73262805,-0.3930131
76.30147513189145,30.773145474987185,1,Wheat,wheat,2025-01-28,0.84784603,-0.72602737,-0.4160584
76.2901947140822,30.78913768790817,1,Wheat,wheat,2025-01-28,0.75265425,-0.63621753,-0.40464708
76.28809417174969,30.79619606626463,1,Wheat,wheat,2025-01-28,0.8698615,-0.7654629,-0.4089958
76.30017248325814,30.800586665256873,1,Wheat,wheat,2025-01-28,0.7347939,-0.6384427,-0.37447008
76.34525668165887,30.7356166952231,1,Wheat,wheat,2025-01-28,0.8066881,-0.7069898,-0.33003464
76.33949287462436,30.734232737586368,1,Wheat,wheat,2025-01-28,0.80593145,-0.6797001,-0.33959138
76.32905542700124,30.74237001647816,1,Wheat,wheat,2025-01-28,0.46854725,-0.43376482,-0.3673846
76.31744392692407,30.748804146098067,1,Wheat,wheat,2025-01-28,0.8635426,-0.7568475,-0.36531365
76.31459167004749,30.754156314836937,1,Wheat,wheat,2025-01-28,0.5895252,-0.53148717,-0.17096189
76.33540866836297,30.786424203250327,1,Wheat,wheat,2025-01-28,0.5184218,-0.4898947,-0.4226804
76.33338717850488,30.761092156837606,1,Wheat,wheat,2025-01-28,0.88694537,-0.7845471,-0.42363733
76.4201800486402,30.81619861972717,1,Wheat,wheat,2025-01-28,0.90515983,-0.81312126,-0.44345766
76.33773597285636,30.728025394164913,1,Wheat,wheat,2025-01-28,0.84891576,-0.75029445,-0.36254296
76.31212880425522,30.757429325923596,1,Wheat,wheat,2025-01-28,0.8797746,-0.77109146,-0.36358666
76.3361375933492,30.786236245359884,1,Wheat,wheat,2025-01-28,0.86514884,-0.7384207,-0.44405898
76.34945410470569,30.781948038898534,1,Wheat,wheat,2025-01-28,0.7794636,-0.66700506,-0.41740674
76.3443949114719,30.733730922643385,1,Wheat,wheat,2025-01-28,0.69169676,-0.6130809,-0.41791818
76.39230372000426,30.796832753221153,1,Wheat,wheat,2025-01-28,0.80843496,-0.743326,-0.461736
76.31682853750361,30.73428426638269,1,Wheat,wheat,2025-01-28,0.69480926,-0.5723818,-0.30830595
76.38904009928494,30.766101871194973,1,Wheat,wheat,2025-01-28,0.503172,-0.5583247,-0.47141674
76.33739634171799,30.718555345643132,1,Wheat,wheat,2025-01-28,0.851468,-0.74238116,-0.37382716
76.38195458253371,30.796672848057664,1,Wheat,wheat,2025-01-28,0.8663443,-0.7429686,-0.39193782
76.37825395311701,30.74970612932216,1,Wheat,wheat,2025-01-28,0.8287919,-0.7244202,-0.4139265
76.32509107688884,30.735102398551497,1,Wheat,wheat,2025-01-28,0.8214057,-0.72207636,-0.34848484
76.3265018825923,30.723719711119067,1,Wheat,wheat,2025-01-28,0.8292458,-0.7366947,-0.34150612
76.32950409647532,30.721794279314942,1,Wheat,wheat,2025-01-28,0.7854077,-0.69450104,-0.36762226
76.30552227332193,30.786548179750383,1,Wheat,wheat +sugarcane,2025-01-28,0.7861814,-0.69007266,-0.46193367
76.42478077746068,30.809201050082986,1,Wheat,wheat /maize check sat,2025-01-28,0.8930629,-0.771022,-0.4003388
76.40278502535311,30.82766585475171,1,Wheat,wheat napier,2025-01-28,0.902807,-0.7730914,-0.43393147
76.38578891987471,30.845351853743086,1,Wheat,wheat xxx,2025-01-28,0.88569045,-0.76700544,-0.3739496
76.33886678767016,30.787110321176087,1,Wheat,wheat+sugarcane,2025-01-28,0.78896415,-0.66674185,-0.39894265
76.33683564445974,30.761146881649108,1,Wheat,wheat+sugarcane,2025-01-28,0.6845287,-0.5976023,-0.3347695
76.38010863831323,30.784512463054174,1,Wheat,wheat+sugarcane(small),2025-01-28,0.67783785,-0.6124675,-0.41167194
76.39168005994694,30.826071424877508,1,Wheat,wheat33ccc,2025-01-28,0.79128736,-0.66717094,-0.4164456
76.41968400995884,30.78246111009961,1,Wheat,wheat82872,2025-01-28,0.86380833,-0.7222093,-0.41048467
