sample_id,latitude,longitude,easting_utm,northing_utm,degradation_risk,crop_failure_risk,salinity_risk,overall_risk,degradation_cat,crop_failure_cat,salinity_cat
filebc494d5a79.145,30.72767812,76.3451464,628785.0,3400195.0,47.0,42.5,29.1,41.62,MODERATE,LOW,LOW
filebc494d5a79.146,30.83069508,76.34689452,628815.0,3411615.0,57.6,54.9,19.6,48.92,MODERATE,MODERATE,LOW
filebc494d5a79.147,30.80920105,76.42478078,636295.0,3409325.0,44.3,43.4,18.8,38.839999999999996,LOW,LOW,LOW
filebc494d5a79.148,30.76516645,76.35810069,629975.0,3404365.0,35.6,35.5,19.5,32.34,LOW,LOW,LOW
filebc494d5a79.149,30.81570892,76.39884799,633805.0,3410015.0,57.6,56.7,23.0,50.32000000000001,MODERATE,MODERATE,LOW
filebc494d5a79.150,30.78974237,76.40557826,634485.0,3407145.0,38.6,49.7,19.7,39.260000000000005,LOW,MODERATE,LOW
filebc494d5a79.151,30.83399365,76.35070455,629175.0,3411985.0,65.3,61.3,22.4,55.12,MODERATE,MODERATE,LOW
filebc494d5a79.152,30.72353875,76.3869673,632795.0,3399785.0,38.1,53.1,16.5,39.78,LOW,MODERATE,LOW
filebc494d5a79.153,30.82178519,76.2824767,622665.0,3410555.0,44.3,48.6,17.8,40.72,LOW,MODERATE,LOW
filebc494d5a79.154,30.83044048,76.32786266,626995.0,3411565.0,41.8,38.1,23.9,36.74,LOW,LOW,LOW
filebc494d5a79.155,30.72802539,76.33773597,628075.0,3400225.0,37.6,55.3,12.7,39.7,LOW,MODERATE,LOW
filebc494d5a79.156,30.82380575,76.33258037,627455.0,3410835.0,56.8,52.1,21.4,47.84,MODERATE,MODERATE,LOW
filebc494d5a79.157,30.73401257,76.31692929,626075.0,3400865.0,48.6,58.4,19.1,46.62,MODERATE,MODERATE,LOW
filebc494d5a79.158,30.7911184,76.36118258,630235.0,3407245.0,46.4,58.5,19.4,45.84,MODERATE,MODERATE,LOW
filebc494d5a79.159,30.79891875,76.30453977,624805.0,3408045.0,38.1,47.8,16.2,37.6,LOW,MODERATE,LOW
filebc494d5a79.160,30.83201065,76.36771881,630805.0,3411785.0,42.6,49.8,20.5,41.06000000000001,LOW,MODERATE,LOW
filebc494d5a79.161,30.71855535,76.33739634,628055.0,3399175.0,54.3,53.1,19.1,46.78,MODERATE,MODERATE,LOW
filebc494d5a79.162,30.74744474,76.36171697,630345.0,3402405.0,51.3,54.1,19.4,46.04,MODERATE,MODERATE,LOW
filebc494d5a79.163,30.75929075,76.35916739,630085.0,3403715.0,49.5,49.9,19.6,43.68000000000001,MODERATE,MODERATE,LOW
filebc494d5a79.164,30.73612046,76.29575468,624045.0,3401075.0,40.9,47.4,16.7,38.66,LOW,MODERATE,LOW
filebc494d5a79.165,30.78711032,76.33886679,628105.0,3406775.0,48.6,49.5,17.2,42.68,MODERATE,MODERATE,LOW
filebc494d5a79.166,30.73821257,76.36451172,630625.0,3401385.0,24.9,40.9,14.4,29.2,LOW,LOW,LOW
filebc494d5a79.167,30.78124023,76.35675904,629825.0,3406145.0,40.6,45.1,21.3,38.54,LOW,MODERATE,LOW
filebc494d5a79.168,30.79619607,76.28809417,623235.0,3407725.0,51.5,45.1,22.6,43.160000000000004,MODERATE,MODERATE,LOW
filebc494d5a79.169,30.79667285,76.38195458,632215.0,3407885.0,40.4,45.1,18.3,37.86,LOW,MODERATE,LOW
filebc494d5a79.170,30.7622843,76.41667139,635585.0,3404115.0,54.5,46.3,23.0,44.92,MODERATE,MODERATE,LOW
filebc494d5a79.171,30.72402958,76.34895986,629155.0,3399795.0,32.8,41.7,11.6,32.120000000000005,LOW,LOW,LOW
filebc494d5a79.172,30.74970613,76.37825395,631925.0,3402675.0,39.5,40.8,9.7,34.06,LOW,LOW,LOW
filebc494d5a79.173,30.86370436,76.33062188,627215.0,3415255.0,30.3,39.0,7.8,29.28,LOW,LOW,LOW
