longitude,latitude,class,class_name,landuse,date,NDVI
76.34143653009487,30.84419490689035,4,Others,onion,2026-05-06,0.15805414
76.30863864371808,30.785163398826068,4,Others,sugarcane,2026-05-06,0.43022934
76.33709320447916,30.76466295324718,4,Others,sugarcane( now sown)(1 m height),2026-05-06,0.21402608
76.33978981411703,30.831039436561845,4,Others,vegatble+muskmelon,2026-05-06,0.7814013
76.32851138051906,30.816810133534638,4,Others,vegetable+muskmelon,2026-05-06,0.1680966
76.31730500737402,30.7846245072241,4,Others,wasteland,2026-05-06,0.11090573
76.39727533319994,30.78649390839142,4,Others,wasteland223,2026-05-06,0.36706445
76.37615324407697,30.770930858725862,1,Wheat,WHEat,2026-05-06,0.16646415
76.33683564445974,30.761146881649108,1,Wheat,Wheat +sugarcane,2026-05-06,0.6383033
76.30304371037768,30.788738493646804,1,Wheat,Wheatnxbx,2026-05-06,0.16142365
76.3139493490568,30.837529549570675,1,Wheat,whaeat+ sugarcane(small),2026-05-06,0.25641692
76.31453613744078,30.81920826698816,1,Wheat,whaet,2026-05-06,0.17140906
76.29814992816998,30.82117796707127,1,Wheat,whaet,2026-05-06,0.15353037
76.42750271390513,30.78120236833959,1,Wheat,wheaatat,2026-05-06,0.16345018
76.39659626619786,30.78289233009027,1,Wheat,whearary,2026-05-06,0.58874077
76.31219930221343,30.831863228198408,1,Wheat,wheat,2026-05-06,0.13065417
76.32227396984737,30.85747430968661,1,Wheat,wheat,2026-05-06,0.12883435
76.32907569970385,30.865344250070226,1,Wheat,wheat,2026-05-06,0.15091774
76.33635083647873,30.862021339115508,1,Wheat,wheat,2026-05-06,0.13807829
76.35628685281,30.85919755805346,1,Wheat,wheat,2026-05-06,0.13686354
76.36560731235593,30.860092016350375,1,Wheat,wheat,2026-05-06,0.66465914
76.33861676652617,30.821848829624066,1,Wheat,wheat,2026-05-06,0.14647578
76.33882394188781,30.829244966877127,1,Wheat,wheat,2026-05-06,0.14549653
76.33389484309677,30.83570164606407,1,Wheat,wheat,2026-05-06,0.13935184
76.327723131096,30.8354943936211,1,Wheat,wheat,2026-05-06,0.14810562
76.3457924495507,30.834135001503334,1,Wheat,wheat,2026-05-06,0.13702849
76.3479171843637,30.829060437263493,1,Wheat,wheat,2026-05-06,0.11004127
76.34904797386542,30.820206837017224,1,Wheat,wheat,2026-05-06,0.17315175
76.33005558509234,30.81508004960485,1,Wheat,wheat,2026-05-06,0.14305653
76.31471814971749,30.817221504794404,1,Wheat,wheat,2026-05-06,0.11540738
76.34061885002538,30.807933782661213,1,Wheat,wheat,2026-05-06,0.7849312
76.33952241919195,30.804245972311517,1,Wheat,wheat,2026-05-06,0.15100515
76.33613323464672,30.801032923323405,1,Wheat,wheat,2026-05-06,0.19165839
76.33667910581572,30.79516277962536,1,Wheat,wheat,2026-05-06,0.74020886
76.35207433936421,30.79743911919715,1,Wheat,wheat,2026-05-06,0.112691075
76.35962027132847,30.791495688144888,1,Wheat,wheat,2026-05-06,0.12168906
76.35972896233446,30.784366928795496,1,Wheat,wheat,2026-05-06,0.11204912
76.36657632271489,30.766069867967516,1,Wheat,wheat,2026-05-06,0.14177442
76.32865192989856,30.781441107272677,1,Wheat,wheat,2026-05-06,0.1517067
76.31881297799141,30.764940360108138,1,Wheat,wheat,2026-05-06,0.12113306
76.29610663303197,30.739004138265756,1,Wheat,wheat,2026-05-06,0.74862075
76.2997901342746,30.733283130925173,1,Wheat,wheat,2026-05-06,0.1439719
76.31201700514183,30.756889111209215,1,Wheat,wheat,2026-05-06,0.118521206
76.31113924532524,30.761499424354117,1,Wheat,wheat,2026-05-06,0.21509434
76.30147513189145,30.773145474987185,1,Wheat,wheat,2026-05-06,0.12181598
76.2901947140822,30.78913768790817,1,Wheat,wheat,2026-05-06,0.17810361
76.28809417174969,30.79619606626463,1,Wheat,wheat,2026-05-06,0.12314458
76.30017248325814,30.800586665256873,1,Wheat,wheat,2026-05-06,0.12857144
76.34525668165887,30.7356166952231,1,Wheat,wheat,2026-05-06,0.12260922
76.33949287462436,30.734232737586368,1,Wheat,wheat,2026-05-06,0.11124694
76.32905542700124,30.74237001647816,1,Wheat,wheat,2026-05-06,0.44282115
76.31744392692407,30.748804146098067,1,Wheat,wheat,2026-05-06,0.13861386
76.31459167004749,30.754156314836937,1,Wheat,wheat,2026-05-06,0.1322691
76.33540866836297,30.786424203250327,1,Wheat,wheat,2026-05-06,0.1232
76.33338717850488,30.761092156837606,1,Wheat,wheat,2026-05-06,0.11748691
76.4201800486402,30.81619861972717,1,Wheat,wheat,2026-05-06,0.116805464
76.33773597285636,30.728025394164913,1,Wheat,wheat,2026-05-06,0.73590577
76.31212880425522,30.757429325923596,1,Wheat,wheat,2026-05-06,0.119694225
76.3361375933492,30.786236245359884,1,Wheat,wheat,2026-05-06,0.11589202
76.34945410470569,30.781948038898534,1,Wheat,wheat,2026-05-06,0.16815476
76.3443949114719,30.733730922643385,1,Wheat,wheat,2026-05-06,0.28855854
76.39230372000426,30.796832753221153,1,Wheat,wheat,2026-05-06,0.12763636
76.31682853750361,30.73428426638269,1,Wheat,wheat,2026-05-06,0.13814433
