system:index,BSI,NDBI,NDVI,SAVI,point_id,.geo
67,-0.09350464905821922,-0.17650912111746767,0.4699945655067797,0.2982344961294294,67,"{""type"":""Point"",""coordinates"":[76.347527,30.829124]}"
68,-0.12291550918819776,-0.22280473674902054,0.4621532815002099,0.2700384707571787,68,"{""type"":""Point"",""coordinates"":[76.335842,30.808856]}"
69,-0.031214302550920548,-0.09889516581186093,0.40041206418900405,0.22105660834766747,69,"{""type"":""Point"",""coordinates"":[76.360179,30.788654]}"
70,-0.021614593445838142,-0.10423092819686135,0.3633519329933844,0.23090888666915893,70,"{""type"":""Point"",""coordinates"":[76.379498,30.770192]}"
71,-0.057928625774898525,-0.09026713522591043,0.5395621058212098,0.2554916879170688,71,"{""type"":""Point"",""coordinates"":[76.411481,30.801946000000004]}"
72,-0.08984078577812363,-0.1538661899743309,0.4812834043495852,0.2702702591839966,72,"{""type"":""Point"",""coordinates"":[76.300762,30.75942300000001]}"
73,-0.12779224603521086,-0.2094951859843143,0.5462496605967376,0.35238800829702355,73,"{""type"":""Point"",""coordinates"":[76.348318,30.844013]}"
74,-0.12157151779850395,-0.22002764381791481,0.515270428024667,0.3471326859226259,74,"{""type"":""Point"",""coordinates"":[76.33762,30.79991400000001]}"
75,-0.010153558986122338,-0.10688950361628627,0.35641667449378317,0.216149398632026,75,"{""type"":""Point"",""coordinates"":[76.36511,30.784269000000005]}"
76,-0.19056361447956832,-0.24991374635319993,0.6511698549367857,0.387709559094524,76,"{""type"":""Point"",""coordinates"":[76.38208,30.769221999999996]}"
77,0.039161602958950395,-0.03654485132068971,0.26572007684425236,0.14815279760924555,77,"{""type"":""Point"",""coordinates"":[76.409279,30.795187000000006]}"
78,-0.21408146067056635,-0.28191423083474915,0.6245161208451477,0.3585185155205711,78,"{""type"":""Point"",""coordinates"":[76.289045,30.755878999999993]}"
79,-0.13588269857631405,-0.21055511907337848,0.5552117162828106,0.34604594694554286,79,"{""type"":""Point"",""coordinates"":[76.345334,30.833531]}"
80,0.06353750060790965,0.043555824993785464,0.2183298555493153,0.11317976442416008,80,"{""type"":""Point"",""coordinates"":[76.340039,30.81368]}"
81,-0.22037757034426644,-0.2668857247965004,0.6518565511901168,0.37799043152951883,81,"{""type"":""Point"",""coordinates"":[76.36238,30.76190800000001]}"
82,-0.11172083970643422,-0.19277386702275887,0.5193708037991319,0.31714692135748357,82,"{""type"":""Point"",""coordinates"":[76.384282,30.784754]}"
83,-0.09483336137055164,-0.17462011672642425,0.4567697337291342,0.2582404006216502,83,"{""type"":""Point"",""coordinates"":[76.41711400000001,30.815981999999995]}"
84,0.008752029196422397,-0.05955693769738689,0.4081964676333175,0.2469419343297049,84,"{""type"":""Point"",""coordinates"":[76.296832,30.775541]}"
85,0.009639845817626612,-0.055204406348070466,0.4166902443638625,0.2588752257958006,85,"{""type"":""Point"",""coordinates"":[76.35012,30.845958]}"
86,-0.080503253304531,-0.16074585589065407,0.48592965401714133,0.3230512363806832,86,"{""type"":""Point"",""coordinates"":[76.33762,30.80094]}"
87,-0.07366680177531688,-0.1450803052675964,0.5253214653725817,0.340823991082439,87,"{""type"":""Point"",""coordinates"":[76.36616,30.78962299999999]}"
88,-0.12087697409575246,-0.18217794516319502,0.554212828149119,0.3103772422533547,88,"{""type"":""Point"",""coordinates"":[76.381289,30.768246999999995]}"
89,0.05640271517058928,0.01264173095677067,0.34017336959273753,0.18427778037718034,89,"{""type"":""Point"",""coordinates"":[76.405477,30.810918000000008]}"
90,-0.033181242293605126,-0.0909617464920543,0.42381851748994925,0.2199476738268939,90,"{""type"":""Point"",""coordinates"":[76.294631,30.76190800000001]}"
91,-0.19315894772739892,-0.2927308289450101,0.5804643742036036,0.3729850180465978,91,"{""type"":""Point"",""coordinates"":[76.347527,30.855210999999997]}"
92,0.12458539735958161,0.09605950013031146,0.18555418726182074,0.09049805104819231,92,"{""type"":""Point"",""coordinates"":[76.336633,30.807887]}"
93,-0.13800906406043129,-0.22133833692514998,0.5252009000867249,0.32012468286711115,93,"{""type"":""Point"",""coordinates"":[76.36238,30.793693000000005]}"
94,-0.10420917527592896,-0.1645962798144695,0.5703012012078172,0.32768833761344496,94,"{""type"":""Point"",""coordinates"":[76.380498,30.771652000000007]}"
95,-0.1625567762280742,-0.23301375549853,0.5993511650157961,0.38228531497678386,95,"{""type"":""Point"",""coordinates"":[76.413933,30.800456]}"
96,0.07601460858481178,0.041922412844555536,0.35375532079237987,0.18649070340148696,96,"{""type"":""Point"",""coordinates"":[76.285041,30.756848]}"
97,-0.23020587677502574,-0.28769843037042797,0.6724110292539253,0.3863594479480702,97,"{""type"":""Point"",""coordinates"":[76.343752,30.827179000000008]}"
98,-0.04938581241611015,-0.11711712667296235,0.4899866453235886,0.29595006361988463,98,"{""type"":""Point"",""coordinates"":[76.340039,30.812226000000003]}"
99,-0.06247511964141153,-0.11560692598433595,0.46001438960487256,0.2463348647936639,99,"{""type"":""Point"",""coordinates"":[76.36159,30.760454000000003]}"
100,-0.08707965785087142,-0.15346651971658307,0.5185643597736969,0.30539358502291375,100,"{""type"":""Point"",""coordinates"":[76.384282,30.778196000000005]}"
101,0.0276697344831744,-0.02616765839021191,0.43022293150967944,0.27157417134210815,101,"{""type"":""Point"",""coordinates"":[76.418705,30.813194999999997]}"
102,-0.03536529554218252,-0.10705622240648677,0.4509261955411375,0.28391552367940986,102,"{""type"":""Point"",""coordinates"":[76.297623,30.77650999999999]}"
103,-0.2818157218388205,-0.342314485975434,0.715253278999219,0.444987419498291,103,"{""type"":""Point"",""coordinates"":[76.34933,30.841099000000003]}"
104,-0.20670163947818804,-0.2827779706767665,0.6351505237394602,0.3626199954785197,104,"{""type"":""Point"",""coordinates"":[76.335842,30.803406]}"
105,-0.0898479132787214,-0.16140733692020548,0.4821786964438509,0.2844184341531467,105,"{""type"":""Point"",""coordinates"":[76.36238,30.788169000000003]}"
106,-0.2084998431873351,-0.26255580093630637,0.658800549943101,0.39479374029898884,106,"{""type"":""Point"",""coordinates"":[76.381289,30.766308000000002]}"
107,-0.07856612412490273,-0.16566658866850056,0.43411970857814963,0.24998458793395933,107,"{""type"":""Point"",""coordinates"":[76.408488,30.808856]}"
108,0.05576807660768985,0.02225932540525749,0.382376052907447,0.193317406095468,108,"{""type"":""Point"",""coordinates"":[76.292428,30.762876999999996]}"
109,-0.011788420426966003,-0.07159830298878596,0.46828990040670426,0.2907876085456902,109,"{""type"":""Point"",""coordinates"":[76.348318,30.84887600000001]}"
110,0.027204845865985042,-0.017254493072415937,0.3559952614661069,0.19842267375205186,110,"{""type"":""Point"",""coordinates"":[76.33762,30.798939999999998]}"
111,0.05366342842245586,-0.003343681046908539,0.3658766026203637,0.21357887363222727,111,"{""type"":""Point"",""coordinates"":[76.36317,30.780619000000012]}"
