point_id,longitude,latitude,original_class,original_name,original_landuse,rabi_max,spring_max,prekharif_max,prekharif_mean,flood_ndwi_max,flood_mndwi_max,flood_ndvi_mean,kharif_max,kharif_mean,end_max,end_mean,annual_mean,annual_std,annual_min,annual_max,class_rabi_2025_26,class_kharif_2025
76.317444_30.748804,76.31744392692407,30.748804146098067,1,Wheat,wheat,0.91048527,0.27046865,0.19182748,0.13802493600000001,,,,0.9070175,0.7789894571428572,0.5635124,0.23636211083333333,0.44652765054545457,0.3051701381967411,0.090312816,0.9356725,Wheat,Rice_Probable
76.317545_30.756202,76.31754465226645,30.75620151079658,4,Others,Maize (just growing),0.8998483,0.8501313,0.20527308,0.139963645,,,,0.8294737,0.6989002833333333,0.3802817,0.22344318166666666,0.5499785830508475,0.294575181848329,0.1139394,0.9349959,Other,Rice_Probable
76.318813_30.76494,76.31881297799141,30.764940360108135,1,Wheat,wheat,0.91799545,0.30646282,0.16458853,0.1297360468,0.033647377,0.2413793,-0.060619276,0.89961034,0.7526580771428572,0.655102,0.39767907500000005,0.44253473220325207,0.3037145835331512,-0.060619276,0.93406594,Wheat,Rice
76.322274_30.857474,76.32227396984737,30.85747430968661,1,Wheat,wheat,0.881472,0.2567917,0.23349972,0.14847648277777778,-0.079898216,0.21098459,0.08876347,0.82841456,0.6183437316666667,0.27550313,0.20004914076923075,0.41701549799212595,0.2868609074914694,0.0796852,0.9208075,Wheat,Rice
76.322756_30.770584,76.32275595834642,30.770584312064354,2,Maize_Tall,maize,0.52474636,0.55830985,0.27529413,0.218361699,-0.50546134,-0.30548304,0.6070454,0.8446796,0.74350869,0.63883233,0.5548337890909092,0.502490633442623,0.13671558072643125,0.17628458,0.8446796,Other,Rice_Probable
76.324717_30.776429,76.32471679843447,30.776428844827407,2,Maize_Tall,maize,0.91096216,0.21164815,0.10837119,0.0936234531,-0.046332046,0.5153374,0.12370422,0.8545842,0.6382641157142858,0.22158796,0.18261424538461538,0.4025953615080645,0.29858308180249926,0.06551549,0.91096216,Wheat,Rice
76.32471_30.730144,76.32470989829504,30.730143949818977,2,Maize_Tall,maize,0.41865158,0.9937824,0.12893982,0.1037971824,-0.049140047,0.40599456,0.10837119,0.88195896,0.7589749814285714,0.31107804,0.14812152408333334,0.5042113434916666,0.2969411910268202,0.05681124,0.9937824,Spring_Maize,Rice
76.324808_30.74494,76.32480790315338,30.744939736203037,2,Maize_Tall,maize,0.5051936,0.897346,0.5397536,0.396249687,-0.11462113,-0.14562307,0.04628331,0.57377046,0.37963267000000006,0.17778815,0.14609051,0.4393910601626016,0.22034552509288863,0.04628331,0.897346,Spring_Maize,Other
76.325091_30.735102,76.32509107688884,30.735102398551497,1,Wheat,wheat,0.89345115,0.6974897,0.73767555,0.503600439,-0.5921951,-0.2701877,0.70488375,0.80651945,0.7088253042857143,0.707289,0.6085812133333333,0.5091252668442623,0.23564611596440618,0.068654865,0.9252507,Wheat,Kharif_Maize
76.325809_30.863573,76.32580906050669,30.86357329714027,4,Others,mustard,0.8427569,0.71662766,0.797153,0.6625250655555557,-0.6888889,-0.4741351,0.7750461,0.76431614,0.7017326599999999,0.62858886,0.37576086461538466,0.5094365264687499,0.20031161327159358,0.055344958,0.8427569,Wheat,Kharif_Maize
76.326502_30.72372,76.3265018825923,30.723719711119067,1,Wheat,wheat,0.9484829,0.24115176,0.20212062,0.14803109490909092,-0.06565431,0.49299926,0.055530474,0.8741534,0.7698297075000001,0.65947956,0.2837242078260869,0.45283283163709676,0.3129897222648355,0.05528527,0.9484829,Wheat,Rice
