sample_id,easting_utm,northing_utm,longitude,latitude,bulk_density,pH,EC,K2O,available_P,OC,CaCO3,available_N,CEC
filebc494d5a79.196,628025.0,3399795.0,76.33434276,30.86050827,286.4,8.579,0.119,34.4148,11.648,0.375,1.25,188.16,14.0652174
filebc494d5a79.197,625055.0,3400965.0,76.28515967,30.80344313,213.5,8.506,0.084,217.9604,207.424,0.4875,1.575,288.512,15.0815217
filebc494d5a79.198,634225.0,3408395.0,76.43111005,30.77782439,168.1,8.552,0.069,39.8132,8.96,0.3375,0.375,225.792,6.52826087
filebc494d5a79.199,627575.0,3414905.0,76.33954459,30.84349271,266.35,8.669,0.07,36.4392,18.368,0.3,0.5,225.792,13.7391304
filebc494d5a79.200,622945.0,3408525.0,76.3739729,30.74984177,219.2,8.637,0.098,85.6996,7.84,0.6375,0.125,225.792,18.6282609
filebc494d5a79.201,636945.0,3405855.0,76.33952242,30.80424597,171.95,8.508,0.084,55.3336,12.992,0.3075,1.45,250.88,14.0652174
filebc494d5a79.202,628095.0,3413025.0,76.28596931,30.80145017,295.7,8.667,0.083,19.5692,23.968,0.375,0.375,213.248,14.0652174
filebc494d5a79.203,631515.0,3402685.0,76.35146666,30.83615104,223.25,8.607,0.089,45.2116,14.112,0.4125,0.25,275.968,14.0652174
filebc494d5a79.204,628145.0,3408675.0,76.37990644,30.77034964,231.5495,8.427,0.099,55.3336,19.712,0.4125,0.375,225.792,14.0652174
filebc494d5a79.205,623025.0,3408305.0,76.40613925,30.84260627,231.5495,8.427,0.099,55.3336,19.712,0.4125,0.375,225.792,14.0652174
filebc494d5a79.206,629245.0,3412225.0,76.31754465,30.75620151,194.663,8.301,0.136,209.188,15.008,0.525,0.625,288.512,14.0652174
filebc494d5a79.207,632055.0,3404965.0,76.29977924,30.73247122,231.4,8.238,0.123,99.8704,87.136,0.6225,0.25,225.792,10.9282609
filebc494d5a79.187,634465.0,3413005.0,76.3121288,30.75742933,161.879,8.49,0.098,78.2768,26.88,0.285,0.5,188.16,9.42173913
filebc494d5a79.188,626105.0,3403325.0,76.31837357,30.80166592,198.649,8.34,0.176,49.2604,57.344,0.66,0.75,313.6,14.0652174
filebc494d5a79.189,624435.0,3400675.0,76.37151909,30.73886048,181.078,8.058,0.12,90.4232,69.44,0.375,0.5,225.792,13.6934783
